,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,sma20,sma50,sma200,trend_sma,above_sma200,macd,macd_signal,macd_bullish,rsi,adx,vol_21,sharpe_63,drawdown,calmar_63,rs_ratio,rs_mom_21,rs_mom_63,rs_positive,score,score_pct
2024-05-28,52.93070842400376,52.95913407066844,52.627489477397226,52.74119567871094,168900,,,,,,,,,0,0,0.0,0.0,0,,0.0,,,0.0,,0.1019700508793071,,,0,,
2024-05-29,52.37164180358991,52.447444724215366,52.29583526830991,52.32426452636719,98600,-0.0079052275356746,,,,,,,,0,0,-0.0332594651442335,-0.0066518930288467,0,0.0,7.142857142857142,,,-0.0079052275356746,,0.1018773579647648,,,0,,
2024-05-30,52.38111833697907,52.52325379015012,52.31478942274051,52.41902160644531,149500,0.0018109586620251,,,,,,,,0,0,-0.0513794560613192,-0.0155974056353412,0,1.718213058419252,10.953569335764463,,,-0.0061085849139304,,0.1027434354206004,,,0,,
2024-05-31,52.49482806087611,52.72224044799805,52.2579380490755,52.72224044799805,80600,0.0057845192882319,,,,,,,,0,0,-0.0408021116581238,-0.0206383468398977,0,7.212313082358648,10.384504439552984,,,-0.0003594008529568,,0.1024050072755113,,,0,,
2024-06-03,52.845425692232666,52.92122861843389,52.61800968431936,52.9117546081543,190900,0.0035945771375778,,,,,,,,0,0,-0.0169320984333865,-0.0198970971585954,1,10.576986994434108,11.4776365763442,,,0.0,,0.1026894016030756,,,0,,
2024-06-04,52.8075211638276,52.892801712931686,52.68433734519841,52.864376068115234,96100,-0.0008954256079756,0.0023355630796595,,,,,,,0,0,-0.0018170474093324,-0.0162810872087428,1,10.474723671772937,12.492687846221758,,,-0.0008954256079756,,0.1024828772188474,,,0,,
2024-06-05,53.04440811135327,53.252872467041016,52.88332464716149,53.252872467041016,181400,0.0073489262112014,0.0177471761730332,,,,,,,0,0,0.0410371018532771,-0.0048174493963388,1,17.516989875393833,15.392898211785724,,,0.0,,0.102023474594257,,,0,,
2024-06-06,53.27182983461893,53.281303845145146,53.16759764555604,53.24340057373047,116500,-0.000177866336063,0.0157267141205816,,,,,,,0,0,0.0733890381128503,0.0108238481054989,1,17.48088509820731,18.18782810486995,,,-0.000177866336063,,0.1020072365347657,,,0,,
2024-06-07,52.99703853861141,53.12969637891351,52.88333233473176,52.94966125488281,81400,-0.0055169150670775,0.0043135649197054,,,,,,,0,0,0.0744674580307886,0.0235525700905569,1,16.355068792069375,18.060685531801116,,,-0.0056938001296712,,0.1015679431902384,,,0,,
2024-06-10,52.81699706314652,53.02545780941521,52.80751943874749,52.997032165527344,142800,0.0008946404853564,0.0016116939988966,,,,,,,0,0,0.0782426179833706,0.0344905796691196,1,17.280293948168506,17.39254246383712,,,-0.0048042535484262,,0.1013456728378779,,,0,,
2024-06-11,52.83594486524827,53.01598358154297,52.72223867551004,53.01598358154297,63100,0.0003575939112294,0.0028678578033796,,,,,,,0,0,0.0818205044889666,0.043956564633089,1,17.67263759167136,16.196003906551585,,,-0.0044483776090137,,0.1011383618455278,,,0,,
2024-06-12,53.4992421736385,53.65085164447181,53.3476327028052,53.40448760986328,119100,0.0073280547124578,0.0028470791489436,,,,,,,0,0,0.1146830388594821,0.0581018594783676,1,25.47617180422833,17.73198913466148,,,0.0,,0.1010495575020923,,,0,,
2024-06-13,53.432911996126,53.45186363136515,53.22444762315017,53.35710906982422,132300,-0.0008871640223416,0.0021356354941357,,,,,,,0,0,0.1353436248291686,0.0735502125485278,1,25.162930384223827,18.447120809288087,,,-0.0008871640223416,,0.1007570672344327,,,0,,
2024-06-14,53.17706888670006,53.31920433977544,53.14864324194688,53.30972671508789,67500,-0.0008880232749177,0.0068001466236362,,,,,,,0,0,0.1462085271360891,0.0880818754660401,1,24.834069248578984,18.693959644707704,,,-0.0017743994749589,,0.1006063568866838,,,0,,
2024-06-17,53.22444802292644,53.49924131397589,53.13917108569197,53.46133804321289,87900,0.0028439712125196,0.0087609788456712,,,,,,,0,0,0.1651490719034924,0.1034953147535306,1,28.073294864345755,19.507244867787215,,,0.0,,0.1000958392676076,,,0,,
2024-06-18,53.53713669405845,53.65084287493377,53.51818506147018,53.6413688659668,258900,0.003367495639716,0.0117961648954778,,,,,,,0,0,0.1924679225033045,0.1212898363034854,1,31.83005117010713,20.695520187748,,,0.0,,0.1001783763688235,,,0,,
2024-06-20,53.61294620952419,53.65084586215663,53.46133314037635,53.55609130859375,169700,-0.0015897722070838,0.0028387820109423,,,,,,,0,0,0.2048754456329007,0.1380069581693684,1,31.003988504701557,21.46988441676663,,,-0.0015897722070838,,0.1002915721809736,,,0,,
2024-06-21,53.50872083802616,53.51819484872571,53.40448864705613,53.47081756591797,77900,-0.001592232379029,0.0021310842749173,,,,,,,0,0,0.2054592128214665,0.1514974090997881,1,30.16106609196862,21.858659658871645,,,-0.0031794732993295,,0.1002663008900483,,,0,,
2024-06-24,53.51819632651881,53.69823145202154,53.48977067898024,53.499244689941406,102000,0.0005316381031277,0.0035550355728961,,,,,,,0,0,0.2058428555514524,0.1623664983901209,1,30.83614033531883,22.778587950909333,,,-0.0026495255253555,,0.1006467713990682,,,0,,
2024-06-25,53.537143269474825,53.59399817422255,53.43291108476471,53.57504653930664,90800,0.0014168770008726,0.0021269294831685,,,,53.13585166931152,,,0,0,0.2098445139866811,0.171862101509433,1,32.70412765897281,23.294669452070643,,,-0.001236402576263,,0.1004027282386431,,,0,,
2024-06-26,53.35710608072597,53.451860636958685,53.3381544465485,53.44238662719727,73300,-0.0024761511315167,-0.0037094921881415,,,,53.17091121673584,,,0,0,0.2000057689003043,0.1774908349876073,1,31.12003921215657,23.223086700235275,,,-0.0037094921881415,,0.1000292870674684,,,0,,
2024-06-27,53.45186381360028,53.575047635747325,53.42343816797206,53.48028945922852,139800,0.0007092279073472,-0.0014153730698615,0.0140135954637812,,,53.228712463378905,,,0,0,0.1930416701040584,0.1806010020108975,1,32.13152913520783,23.58221141385462,0.0591457832900088,,-0.0030028951561762,,0.0999426572542002,-0.019882245891066,,0,,
