,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,sma20,sma50,sma200,trend_sma,above_sma200,macd,macd_signal,macd_bullish,rsi,adx,vol_21,sharpe_63,drawdown,calmar_63,rs_ratio,rs_mom_21,rs_mom_63,rs_positive,score,score_pct
2024-05-28,26.99408582889384,27.037963712071623,26.5816280359872,26.67815971374512,18720200,,,,,,,,,0,0,0.0,0.0,0,,0.0,,,0.0,,0.0515796668689283,,,0,,
2024-05-29,26.230598650175253,26.344683826202584,26.14284288256528,26.22182273864746,19371600,-0.0171052643808315,,,,,,,,0,0,-0.0364029495804416,-0.0072805899160883,0,0.0,7.142857142857142,,,-0.0171052643808315,,0.0510548986367046,,,0,,
2024-05-30,26.19549535269985,26.47631781204685,26.09896200461161,26.353458404541016,14695000,0.0050200806864406,,,,,,,,0,0,-0.0540080797550324,-0.0166260878838771,0,2.170767004341513,10.28716936041889,,,-0.0121710535017455,,0.0516538578317118,,,0,,
2024-05-31,26.10774006575842,26.15161795095717,25.826917583284715,25.976104736328125,19726900,-0.0143189429797141,,,,,,,,0,0,-0.0972880831423594,-0.0327584869355736,0,2.0344294408342165,14.435160848061988,,,-0.0263157198603651,,0.0504546810344909,,,0,,
2024-06-03,25.83569199636368,26.134066285141817,25.68650485197461,25.95855140686035,19214800,-0.0006757491027215,,,,,,,,0,0,-0.1314884871994586,-0.0525044869883506,0,2.0280486237991227,18.65679812952291,,,-0.0269736861390035,,0.0503795069771199,,,0,,
2024-06-04,25.56364558004134,25.70405849692179,25.49343995851813,25.668954849243164,32554100,-0.0111561139555981,-0.0378288785782324,,,,,,,0,0,-0.1798869509606788,-0.0779809797828162,0,1.9210003478149675,22.94563189111824,,,-0.0378288785782324,,0.0497618406774498,,,0,,
2024-06-05,25.71283307149684,25.791814605973286,25.484666053936085,25.58119773864746,21361600,-0.0034188034188034,-0.0244309866016981,,,,,,,0,0,-0.2227565487588876,-0.1069360935780305,0,1.8884702723613744,25.81542910965932,,,-0.041118352497623,,0.0490092375616894,,,0,,
2024-06-06,25.853243580516825,26.16916970943036,25.835693430781426,26.12529182434082,31195700,0.0212692967409948,-0.0086579369089895,,,,,,,0,0,-0.2104017875054893,-0.1276292323635223,0,11.854746728926171,25.129399668436108,,,-0.0207236141974009,,0.0500525660259982,,,0,,
2024-06-07,25.774263913324653,25.85324377230492,25.20384135992496,25.23894500732422,37267300,-0.0339267719180382,-0.0283783783783784,,,,,,,0,0,-0.2690301190774526,-0.1559094097063084,0,10.061675446844603,26.536169758114077,,,-0.0539473007832467,,0.0484132980633387,,,0,,
2024-06-10,24.966898101379726,25.19506511108699,24.92301854271755,25.107309341430664,27634800,-0.0052155771905424,-0.0327923562485354,,,,,,,0,0,-0.3223989776273086,-0.1892073232905084,0,9.824019300484196,28.39613043532816,,,-0.0588815116623326,,0.0480124406480074,,,0,,
2024-06-11,25.23785029003364,25.373829740295147,25.07467425809082,25.246915817260746,26014400,0.005560391754114,-0.0164416133987964,,,,,,,0,0,-0.3494014245431458,-0.2212461435410359,0,12.19280367372437,29.16584108169417,,,-0.0536485241801356,,0.048163426151845,,,0,,
2024-06-12,25.129064585541,25.183457746507813,24.54888470114128,24.69392967224121,43671600,-0.0219031167617499,-0.0346843832517578,,,,,,,0,0,-0.4106882600537744,-0.2591345668435836,0,10.964217389575964,30.826385758827733,,,-0.0743765710526724,,0.0467247375276175,,,0,,
2024-06-13,24.666735498151034,24.8661736496742,24.44916802027608,24.73925971984864,29116000,0.0018356757393045,-0.0530532678375987,,,,,,,0,0,-0.4504087312566192,-0.2973893997261908,0,11.74923100328894,32.5130089988516,,,-0.072677426580422,,0.0467164439096827,,,0,,
2024-06-14,24.54888500269735,24.95682506959728,24.521688421879865,24.721126556396484,22735500,-0.0007329711421236,-0.0205166440505918,,,,,,,0,0,-0.4778424156794578,-0.3334800029168442,0,11.704773231061084,33.63782466129113,,,-0.0733571272661784,,0.046653816249838,,,0,,
2024-06-17,24.42197059433244,24.60327594226532,24.331317055829786,24.45823097229004,18977100,-0.0106344499918601,-0.0258521676024261,,,,,,,0,0,-0.514862272968756,-0.3697564569272266,0,11.0518421740411,34.98893548701414,,,-0.08321146455658,,0.0457932211578018,,,0,,
2024-06-18,24.46729712949026,24.79364918487987,24.449166075508064,24.53075408935547,27087800,0.0029651824429819,-0.028366305535651,,,,,,,0,0,-0.5322137384526577,-0.4022479132323128,0,12.50188514616562,35.349727023050136,,,-0.080493019287356,,0.0458126100755355,,,0,,
2024-06-20,24.84803932790894,25.09280335674561,24.521687289460044,24.603275299072266,28757000,0.0029563383764164,-0.0036711197598837,,,,,,,0,0,-0.5339579099118943,-0.4285899125682291,0,14.011470584033106,34.465482629431804,,,-0.0777746455128924,,0.0460732122202004,,,0,,
2024-06-21,24.702994985464976,24.965890073980653,24.69392945871556,24.89336585998535,22076000,0.0117907293800034,0.0062292138844022,,,,,,,0,0,-0.506098308219805,-0.4440915916985443,0,19.96012378826245,33.64439854964336,,,-0.0669009359307571,,0.0466790211827511,,,0,,
2024-06-24,25.255982394580883,25.46448434225579,25.219720284164765,25.37383079528809,23639800,0.0193009229047269,0.026402689917977,,,,,,,0,0,-0.4401757957221441,-0.4433084325032643,1,28.751676109924773,31.27538019910348,,,-0.0488912628326838,,0.0477351384890785,,,0,,
2024-06-25,25.20158810211744,25.28317611783306,24.9840206365666,25.020282745361328,16425300,-0.0139335700935002,0.0229800664532142,,,,25.3595383644104,,,0,0,-0.411714118452064,-0.4369895696930242,1,26.449453614294043,29.642335014338265,,,-0.0621436030885451,,0.0468894480520966,,,0,,
2024-06-26,24.612342688319785,24.811780828720284,24.52168914532615,24.802715301513672,21855700,-0.0086956428934837,0.0110865410483329,,,,25.265766143798828,,,0,0,-0.4020789922544985,-0.4300074542053191,1,25.11662136919001,29.15617694542413,,,-0.0702988674014565,,0.0464237808618739,,,0,,
2024-06-27,25.04747674930541,25.21971830210001,24.79364891263176,25.14719581604004,30096400,0.0138888226687561,0.0221076466590723,-0.0573864132358536,,,25.21203479766846,,,0,0,-0.3624680803454154,-0.4164995794333384,1,31.041783542806044,27.562677180170056,0.2174871324011238,,-0.0573864132358536,,0.0469944700080538,-0.0888954337864599,,0,,
2024-06-28,24.902430421437096,25.002149482742777,24.603274966592416,24.77551651000977,28218100,-0.0147801491963249,-0.0047341669518873,-0.0551565862927609,,,25.13313770294189,,,0,0,-0.3569528309792318,-0.4045902297425171,1,28.42811077136088,26.49154436170268,0.2156911655372775,,-0.0713183826827107,,0.0464827887905501,-0.0895528140930927,,0,,
2024-07-01,24.93869286404168,25.11093440978664,24.603275299072266,24.603275299072266,20411700,-0.0069520734660734,-0.0303681183354826,-0.0664118947351203,,,25.0644962310791,,,0,0,-0.3623039677502646,-0.3961329773440666,1,27.281727636877307,25.204173394721668,0.2143379726778337,,-0.0777746455128924,,0.0460648460027638,-0.1082012469844355,,0,,
2024-07-02,24.55795150051404,24.811781077628087,24.349449559887777,24.62140846252441,33023500,0.0007370223367304,-0.0159420373820862,-0.052151632723791,,,24.997639083862303,,,0,0,-0.3609211135177084,-0.389090604578795,1,27.61267999256768,24.55676571438084,0.2107953028690776,,-0.0770949448271363,,0.0457906325202052,-0.0924403527810898,,0,,
2024-07-03,25.0928067746656,25.47355029502669,25.065610191399585,25.42822265625,33503600,0.0327688074771848,0.0252193095446349,-0.0204298283944378,,,24.985602474212648,,,0,0,-0.2913633733685863,-0.3695451583367533,1,40.572378783857694,23.230223190332605,0.2436458991001154,,-0.0468524467544562,,0.0470810316384586,-0.0654725608997973,,0,,
2024-07-05,25.555137205903087,25.7455080932796,25.26504724662124,25.73644256591797,35541300,0.0121211739347504,0.023431906849116,0.0026291571694745,,,24.99336471557617,,,0,0,-0.2089588448637904,-0.3374278956421608,1,44.649256725600026,22.52059624752843,0.2446053377646456,,-0.035299179476085,,0.0473785022844533,-0.047894900199634,,0,,
2024-07-08,25.46448366135937,25.7998995283768,25.44635260663612,25.73644256591797,17802200,0.0,0.0387853086945721,0.0060687083089923,,,24.97392225265503,,,0,0,-0.1420155949541772,-0.2983454355045641,1,44.649256725600026,21.963669073143528,0.244247761305587,,-0.035299179476085,,0.047323898651098,-0.0343881887260553,,0,,
2024-07-09,25.836161142665432,26.17157873232703,25.72737654548336,26.099056243896484,18780800,0.0140895027372087,0.0607960089314052,-0.0010042215268153,,,25.016927814483644,,,0,0,-0.0590223211981673,-0.2504808126432847,1,49.3868282167887,22.10504667123788,0.2376969417867827,,-0.0217070246247259,,0.0479440442320359,-0.0421261477956396,,0,,
2024-07-10,26.33475315979899,26.352884214261024,26.00840282484493,26.126251220703125,16408500,0.0010419908119474,0.0611192800147559,0.0351562322878953,,,25.067874908447266,,,0,0,0.0088429178852571,-0.1986160665375763,1,49.73431089051623,22.528283400978044,0.2030390560138142,,-0.020687652332992,,0.047523734250118,-0.0183743692085769,,0,,
2024-07-11,26.31662305731284,26.416340395764475,26.135315976191283,26.24410057067871,19614200,0.0045107638665817,0.0320855266000346,0.0452773020712409,,,25.117734146118163,,,0,0,0.0713140030012553,-0.14463005262981,1,51.29482566442732,23.02335186826496,0.2016410266189363,,-0.0162702055810384,,0.0481533207088353,0.0029342407702361,,0,,
2024-07-12,26.198774410049765,26.48886437290945,26.12625191933484,26.42540740966797,16038000,0.0069084798124812,0.0267700107342099,0.0466786359544761,,,25.204308032989506,,,0,0,0.1339091137892722,-0.0889222193459935,1,53.67747508470373,23.603247698734325,0.2019789554828591,,-0.0094741281553588,,0.048182070954712,0.0003871153768877,,0,,
2024-07-15,26.3347517612915,26.534189891637705,26.189706791442863,26.40727424621582,17120600,-0.0006862018500238,0.026065439253295,0.0693832288629461,,,25.28770875930786,,,0,0,0.1799783173074729,-0.0351421120153002,1,53.39613027941236,24.219438303544894,0.1824354141295385,,-0.0101538288411151,,0.0480169505835469,0.0276558654859349,,0,,
2024-07-16,26.570450879875327,26.661104420381104,26.22596950084033,26.461668014526367,22640500,0.0020598024545581,0.0138936736731498,0.0696224670496432,,,25.374735832214355,,,0,0,0.2183604916977017,0.0155584087273001,1,54.17208639730836,25.01177158427533,0.182414987583268,,-0.0081149412681269,,0.0478322071575101,0.0238837367412765,,0,,
2024-07-17,26.225967940383647,26.41633880795341,26.198771361128383,26.289424896240234,17561300,-0.0065091557414891,0.0062455831936503,0.0634395983640139,,,25.466295528411862,,,0,0,0.2322033654256508,0.0588874000669702,1,51.26147835772464,25.64711567523187,0.1850909206626313,,-0.0145712755930688,,0.0481966332756955,0.0330694710502463,,0,,
