,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,sma20,sma50,sma200,trend_sma,above_sma200,macd,macd_signal,macd_bullish,rsi,adx,vol_21,sharpe_63,drawdown,calmar_63,rs_ratio,rs_mom_21,rs_mom_63,rs_positive,score,score_pct
2024-05-28,62.53221494484065,62.53221494484065,61.39472190266265,61.56435012817383,99000,,,,,,,,,0,0,0.0,0.0,0,,0.0,,,0.0,,0.1190287890697509,,,0,,
2024-05-29,60.98562723017936,61.49450813185296,60.98562723017936,61.18518829345703,60700,-0.0061587888758251,,,,,,,,0,0,-0.0302465281255592,-0.0060493056251118,0,0.0,7.142857142857142,,,-0.0061587888758251,,0.1191299319178165,,,0,,
2024-05-30,61.0953825743753,61.10536272044961,59.3192972041958,59.5787239074707,88000,-0.0262557725291517,,,,,,,,0,0,-0.181750265816845,-0.0411894976634585,0,0.0,13.775510204081632,,,-0.0322528576451981,,0.1167767529950922,,,0,,
2024-05-31,59.85811514335668,59.85811514335668,58.75554110897607,59.65855407714844,77900,0.0013399107003653,,,,,,,,0,0,-0.2920103286398117,-0.0913536638587291,0,1.2983529886829075,19.934402332361515,,,-0.0309561628939089,,0.1158777649939627,,,0,,
2024-06-03,60.04769463436201,60.12751677516004,59.0299366465902,59.37916564941406,371500,-0.004683124357541,,,,,,,,0,0,-0.3973560606578132,-0.152554143218546,0,1.2377822224577528,24.14838082439191,,,-0.0354943156909854,,0.1152411549319765,,,0,,
2024-06-04,59.20954152453225,59.46597648115079,58.9900239751697,59.249454498291016,143700,-0.0021844556033152,-0.0376012355375037,,,,,,,0,0,-0.4857109446856356,-0.2191855035119639,0,1.209568884250757,28.086239283163334,,,-0.0376012355375037,,0.1148610035852981,,,0,,
2024-06-05,59.90800217501845,60.56655100398842,59.449014404650725,60.52663803100586,96000,0.0215560386763,-0.0107632301349246,,,,,,,0,0,-0.4475161025571239,-0.2648516233209959,0,20.43916799703281,27.52646893183538,,,-0.0168557305487266,,0.1159587625846214,,,0,,
2024-06-06,60.506683349609375,60.74216456839679,60.375970833293806,60.506683349609375,72000,-0.0003296842852276,0.0155753494079504,,,,,,,0,0,-0.4140832965272949,-0.2946979579622557,0,20.372445133328057,26.54672947640879,,,-0.0171798577644763,,0.1159227016330934,,,0,,
2024-06-07,60.26721131924037,60.75613191618972,60.07762660072847,60.52663803100586,52100,0.0003297930128014,0.0145508714933795,,,,,,,0,0,-0.3815787782269737,-0.3120741220151993,0,20.651400943342736,26.186309008767093,,,-0.0168557305487266,,0.1161020861575847,,,0,,
2024-06-10,60.62641907454712,61.54739021844957,60.62641907454712,61.38475036621094,69300,0.0141774326663492,0.0337758992546011,,,,,,,0,0,-0.2833103935225978,-0.306321376316679,1,31.72782995863686,24.542682539850784,,,-0.0029172688672741,,0.1173854327261836,,,0,,
2024-06-11,61.17521106179134,61.69706005638951,60.905804201238425,61.5743293762207,58000,0.0030883730711417,0.0392387558268025,,,,,,,0,0,-0.1879677734426366,-0.2826506557418705,1,33.922380970292096,23.291218385510994,,,0.0,,0.1174650536294763,,,0,,
2024-06-12,62.29274770169305,62.492308762161294,61.80382329386139,62.33266067504883,89400,0.0123157053679741,0.0298384761287715,,,,,,,0,0,-0.0506333917248298,-0.2362472029384624,1,41.95927456592562,23.359247880548757,,,0.0,,0.1179430430108358,,,0,,
2024-06-13,63.01117085235746,63.32946979772251,62.257829599036576,62.532222747802734,102000,0.0032015651280195,0.0334762919740574,,,,,,,0,0,0.0734612708860069,-0.1743055081735685,1,43.893257321275634,24.36147825978948,,,0.0,,0.1180828952168222,,,0,,
2024-06-14,62.41248343049216,62.91138418342385,62.362594116461125,62.83156204223633,74700,0.0047869607264858,0.0380811504853404,,,,,,,0,0,0.1937281864944964,-0.1006987692399555,1,46.7589949017234,25.292120754798727,,,0.0,,0.118576021154109,,,0,,
2024-06-17,62.93134078421908,63.52503389930194,62.472353004205615,63.42026519775391,100300,0.0093695451200441,0.0331599431357045,,,,,,,0,0,0.3327087488900702,-0.0140172656139504,1,51.95626667015778,26.73124021778857,,,0.0,,0.1187419578046149,,,0,,
2024-06-18,63.37037156504079,63.48013033900688,62.95129676223644,63.13090133666992,64200,-0.0045626403513405,0.0252795601059416,,,,,,,0,0,0.4147219441973959,0.0717305763483188,1,49.40345311484855,28.067565433422,,,-0.0045626403513405,,0.1179006436487968,,,0,,
2024-06-20,62.96127540457231,62.96127540457231,62.48233112400779,62.6419792175293,123500,-0.0077445768837238,0.0049623831091216,,,,,,,0,0,0.4352487863534904,0.1444342183493531,1,45.34902853392187,28.245768104065004,,,-0.0122718815160707,,0.1173062056748329,,,0,,
2024-06-21,62.432440211805066,62.82158219191732,62.16303334719412,62.701847076416016,54300,0.0009557146762368,0.0027125907437737,,,,,,,0,0,0.451146753579529,0.2057767253953883,1,45.93413353790456,27.76056842204037,,,-0.0113278952571037,,0.117575965190978,,,0,,
2024-06-24,62.52224440703953,63.0401044116865,62.50228791946216,62.51226806640625,85200,-0.0030234996072558,-0.0050817449933115,,,,,,,0,0,0.4433380404529359,0.2532889884068978,1,44.31613181547282,27.584424349445364,,,-0.0143171449774988,,0.1176027300525089,,,0,,
2024-06-25,62.69186982939623,62.83654769678291,62.44241945536166,62.711822509765625,64800,0.0031922444910714,-0.0111706043136095,,,,61.49750022888183,,,0,0,0.4480866904313956,0.2922485288117974,1,46.4542148942277,27.29355588644989,,,-0.0111706043136095,,0.1175255869985402,,,0,,
2024-06-26,62.57212829589844,62.92136108874698,62.302721446436,62.57212829589844,71400,-0.0022275578714912,-0.0088510226995114,,,,61.54788913726807,,,0,0,0.4355570436908564,0.3209102317876092,1,45.14735453128087,26.718989287441268,,,-0.0133732790175326,,0.1171176381480369,,,0,,
2024-06-27,62.6280269702141,64.28506414638552,62.6280269702141,64.16527557373047,131500,0.0254609731396409,0.0243175004242985,0.0422472655057943,,,61.696893501281735,,,0,0,0.5478654275965056,0.3663012709493885,1,59.23295788426186,27.72101073154654,0.1728672574649183,,0.0,,0.1199105117153785,0.0074076419034301,,0,,
2024-06-28,64.54460429928086,65.04371194422139,64.4048471521815,64.6144790649414,109000,0.0070007256603266,0.0305035988205328,0.056047727679398,,,61.94868125915527,,,0,0,0.6654467427462905,0.4261303653087689,1,62.18179427397581,29.23364618113469,0.1710146380602856,,0.0,,0.1212270272455276,0.0176034292469655,,0,,
2024-07-01,64.75422899666087,64.78417423701794,64.15629900914453,64.70431518554688,70700,0.0013903403990176,0.0350658708593332,0.0860305649720951,,,62.2009693145752,,,0,0,0.7571518312709671,0.4923346585012085,1,62.7619189225688,30.145952215877816,0.1351879925835173,,0.0,,0.1211462269918669,0.0374173273764371,,0,,
2024-07-02,64.62446004795827,65.01376342773438,64.44178797809423,65.01376342773438,148400,0.0047824977561408,0.0367066499719457,0.0897643168431598,,,62.48269920349121,,,0,0,0.8450573663149754,0.562879200063962,1,64.76682439219178,31.175435250035505,0.1348691113944026,,0.0,,0.1209119166491006,0.043443637831642,,0,,
2024-07-03,65.0736655741743,65.67259330216548,65.02375175693368,65.35316467285156,89700,0.0052204522123142,0.0444452898229996,0.1006076619316129,,,62.78788471221924,,,0,0,0.9313736840788708,0.6365780968669438,1,66.87347531686638,32.60557356915265,0.1310179387534498,,0.0,,0.1210031253552695,0.0499992422558945,,0,,
2024-07-05,65.36314444717733,65.59272971276481,65.11258532696812,65.48292541503906,70700,0.0019855311190677,0.0205352479129388,0.1052072288180787,,,63.0356990814209,,,0,0,0.9987377679250428,0.7090100310785636,1,67.66939490978876,33.93355915119,0.1290761400298315,,0.0,,0.1205482429602623,0.0495141013698416,,0,,
2024-07-08,65.29327079658442,65.33319270937018,64.8839988406312,65.16349792480469,77200,-0.0048780271835719,0.0084968395289775,0.0766085816863562,,,63.26853981018066,,,0,0,1.014652874077271,0.7701385996783051,1,63.61727723523193,34.670241857352124,0.1178470234240579,,-0.0048780271835719,,0.1198219379989991,0.0333150796737631,,0,,
2024-07-09,65.16350280829677,65.183471381965,64.21520118510057,64.53462982177734,183400,-0.0096506191818159,-0.002622473683292,0.0665702737149609,,,63.46893939971924,,,0,0,0.9653928621421954,0.8091894521710832,1,56.450417928986575,34.050777277012294,0.1258615041289866,,-0.0144815703826807,,0.1185503076340906,0.0226668802916087,,0,,
2024-07-10,64.6044972251478,64.63444246645324,63.72606667059164,64.59451293945312,89400,0.0009279222309193,-0.0064486420440383,0.0672080102377967,,,63.62942752838135,,,0,0,0.9205742084789676,0.8314664034326601,1,56.947787028448246,32.66002803043326,0.1257123919097263,,-0.013567085922858,,0.1174976249373968,0.012019928547347,,0,,
2024-07-11,64.8540517329735,65.63664914615204,64.53462312942204,64.74424743652344,71600,0.0023180683661268,-0.0093173335886069,0.0547285286699108,,,63.787923431396486,,,0,0,0.8869136367600703,0.8425558500981423,1,58.232297198472544,32.3853048082978,0.1191230638006203,,-0.0112804669894295,,0.1187943230641477,0.0120022587576986,,0,,
2024-07-12,64.76420579120399,65.63265584212601,64.64442482954463,65.29326629638672,88000,0.0084798091197453,-0.0028963140765361,0.0603975221141788,,,63.93595371246338,,,0,0,0.8942304923339606,0.8528907785453059,1,62.63443559946676,32.13020467345772,0.1208715590724789,,-0.0028963140765361,,0.119050731766489,0.0134991479424555,,0,,
2024-07-15,65.3731179745669,66.2964701749317,65.23836439220061,65.91215515136719,112800,0.00947860154784,0.0114889048378958,0.0574256647727409,,,64.10495033264161,,,0,0,0.9391424617155336,0.8701411151793516,1,66.87296976546028,32.47032250095985,0.1184394541699167,,0.0,,0.1198495921425004,0.0161649986552354,,0,,
2024-07-16,66.04193505507145,66.37134035175029,65.77241263004974,66.35137939453125,82000,0.0066637821530093,0.0281515455774852,0.0610750182690844,,,64.28094120025635,,,0,0,0.99866525528153,0.8958459431997873,1,69.51584481026497,32.84743275459366,0.1192329171247446,,0.0,,0.119936994245545,0.0157016731789838,,0,,
2024-07-17,65.50289443578438,65.66260493262082,64.70431910426588,65.01376342773438,141100,-0.0201595803885747,0.0064904969354631,0.0347309746020818,,,64.36061611175538,,,0,0,0.927214714367608,0.9021196974333514,1,55.09906725743127,31.497510043369225,0.1430701023032051,,-0.0201595803885747,,0.1191903027991863,0.0051804879190446,,0,,
2024-07-18,65.0836367593195,65.0836367593195,63.59130970842674,64.12535095214844,113400,-0.0136649907457433,-0.009559096118644,0.0111176727532746,,,64.4103385925293,,,0,0,0.7897978855208692,0.879655335050855,0,47.98157819130007,29.573258184811223,0.1495469128621655,,-0.0335490906548701,,0.1184720036345721,-0.0022734522407573,,0,,
2024-07-19,64.2052137709002,64.20621143795707,63.33676744522941,63.53641128540039,67600,-0.0091841940512344,-0.0269071392907717,0.0064233194860934,,,64.45506019592285,,,0,0,0.6261536400967032,0.8289549960600248,0,43.93033838445706,28.04865701628392,0.1523752277419175,,-0.0424251633472878,,0.1181686717877074,0.0022733390642797,,0,,
2024-07-22,63.96564324050366,64.22517375538418,63.226962185422266,63.60628509521485,129900,0.0010997443576186,-0.0349839881711788,0.0153939241660441,,,64.50028209686279,,,0,0,0.4963806618140083,0.7624401292108215,0,44.52876316989301,26.74802606031727,0.1495093980045923,,-0.0413720758236814,,0.1170913968176994,-0.0018311806770817,,0,,
2024-07-23,63.795949985869385,64.65441208404745,63.60629041904338,64.24514770507812,79900,0.0100440170166664,-0.0317436006406028,0.0246133200315654,,,64.58692607879638,,,0,0,0.440013315378593,0.6979547664443758,0,49.80385180904808,25.000398461611766,0.1529273775201216,,-0.0317436006406028,,0.1184532612690636,0.0074615256329013,,0,,
2024-07-24,63.70610608086689,64.0205463667321,62.338552058574976,62.38846206665039,113100,-0.0289000135380026,-0.0403807012956898,-0.0019805072441835,,,64.57075805664063,,,0,0,0.242724792850872,0.606908771725675,0,38.38060989365964,24.63099401226325,0.1848722556104352,,-0.059726223690347,,0.1176972858429347,0.0008040271716784,,0,,
2024-07-25,62.61805313121683,64.00557577010474,62.34653917543806,62.83766174316406,59700,0.0072000440727932,-0.0200808134359415,0.0020066269542531,,,64.5840347290039,,,0,0,0.1212215110157046,0.5097713195836809,0,41.855347098116965,24.287975595011066,0.1862683257580046,,-0.0529562110604258,,0.1191656110509996,0.0139546127302456,,0,,
2024-07-26,63.53640981758005,63.53640981758005,62.518229683330674,63.20699691772461,58600,0.0058776084964797,-0.0051846549248127,0.0101461887123917,,,64.53612079620362,,,0,0,0.0541078253717302,0.4186386207412908,0,44.62050222827826,23.969458493276885,0.1870729455664307,,-0.0473898584400162,,0.1185384236724422,0.0121312685849201,,0,,
2024-07-29,63.4266062141797,63.72607006686189,63.06724806780528,63.07722854614258,44400,-0.0020530697218686,-0.0083176772276561,-0.0169569446692027,,,64.45925827026367,,,0,0,-0.0094426283544137,0.3330223709221499,0,43.8317664178509,23.39582500157477,0.163727046094896,,-0.049345633478398,,0.1182255789746313,-0.0140515849414987,,0,,
2024-07-30,63.88578340201417,64.12535295735364,62.5082451311992,63.14710235595703,40300,0.001107750156831,-0.0170914907715948,-0.0227097197132792,,,64.38139762878419,,,0,0,-0.0535512824469179,0.2557076402483363,0,44.40165404563713,23.4240877500843,0.1614631437666127,,-0.0482925459547917,,0.1189592324581197,-0.0187070065061878,,0,,
