,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,sma20,sma50,sma200,trend_sma,above_sma200,macd,macd_signal,macd_bullish,rsi,adx,vol_21,sharpe_63,drawdown,calmar_63,rs_ratio,rs_mom_21,rs_mom_63,rs_positive,score,score_pct
2024-05-28,170.32524876995083,170.32524876995083,168.5797596239686,169.1776580810547,1009300,,,,,,,,,0,0,0.0,0.0,0,,0.0,,,0.0,,0.3270887999441125,,,0,,
2024-05-29,167.8758010584814,167.93366030770324,167.15253101327508,167.26824951171875,982700,-0.0112864109303435,,,,,,,,0,0,-0.1523174927105515,-0.0304634985421103,0,0.0,7.142857142857143,,,-0.0112864109303435,,0.3256777230582527,,,0,,
2024-05-30,167.27789067089705,168.27118028536472,167.15251916316,168.16510009765625,1411900,0.0053617502936482,,,,,,,,0,0,-0.1983751112812513,-0.0640458210899385,0,3.487091011675247,10.87576082141242,,,-0.0059851755538151,,0.3296104837307868,,,0,,
2024-05-31,168.4447618280571,170.8460235595703,168.1458125782031,170.8460235595703,1555200,0.0159422107224223,,,,,,,,0,0,-0.018336614780452,-0.0549039798280412,1,13.227846883312536,12.973551033057063,,,0.0,,0.3318427343978953,,,0,,
2024-06-03,171.0099617839702,171.0099617839702,168.45439893678636,169.73699951171875,1233600,-0.0064913658787315,,,,,,,,0,0,0.0344589967779711,-0.0370313845068387,1,12.658683407638833,15.096930092770464,,,-0.0064913658787315,,0.3294200133569896,,,0,,
2024-06-04,169.0909108294428,169.57309092058298,168.31941974062482,169.06198120117188,1172300,-0.0039768483741829,-0.0006837597895308,,,,,,,0,0,0.0215827702712374,-0.0253085535512235,1,12.311454012008229,16.710227077667923,,,-0.0104423990750734,,0.327743588414734,,,0,,
2024-06-05,169.55377714162609,169.85272637820145,168.52190490961132,169.83343505859375,1265400,0.0045631421798133,0.0153357589044134,,,,,,,0,0,0.0727890797793975,-0.0056890268850992,1,15.175170538972466,18.53208497454621,,,-0.0059269070469381,,0.3253720662238413,,,0,,
2024-06-06,169.544118955664,170.1806000486266,169.11015992499492,169.55377197265625,1217600,-0.0016466903930961,0.0082577887694508,,,,,,,0,0,0.0897691720568332,0.0134026129032872,1,14.984128684532692,20.57103178096897,,,-0.0075638376591392,,0.3248423567353797,,,0,,
2024-06-07,169.11982092430642,170.25777345974691,168.7051531570051,169.2162628173828,796300,-0.0019905729689567,-0.0095393542573101,,,,,,,0,0,0.0751258453913408,0.0257472594008979,1,14.74290873751798,21.406992763515326,,,-0.0095393542573101,,0.324590325251901,,,0,,
2024-06-10,168.81121903778913,169.7177197819529,168.42546621316325,169.65020751953125,1313200,0.0025644385174534,-0.0005113321929642,,,,,,,0,0,0.0974136899656343,0.0400805455138452,1,16.601875076491538,21.5252900886978,,,-0.0069993788273456,,0.324420287681432,,,0,,
