,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,sma20,sma50,sma200,trend_sma,above_sma200,macd,macd_signal,macd_bullish,rsi,adx,vol_21,sharpe_63,drawdown,calmar_63,rs_ratio,rs_mom_21,rs_mom_63,rs_positive,score,score_pct
2024-05-28,108.0444133393049,108.20808605568928,107.30306011366037,107.73632049560548,1612200,,,,,,,,,0,0,0.0,0.0,0,,0.0,,,0.0,,0.2082978824713355,,,0,,
2024-05-29,106.69650433230986,106.88905960494417,106.5328316160194,106.56171417236328,821000,-0.010902602927581,,,,,,,,0,0,-0.0937007893184613,-0.0187401578636922,0,0.0,7.142857142857142,,,-0.010902602927581,,0.2074797856878867,,,0,,
2024-05-30,106.56171117915444,106.88905660254052,106.22473578875328,106.49431610107422,1088000,-0.0006324792333955,,,,,,,,0,0,-0.1714217576985248,-0.0492764778306587,0,0.0,13.775510204081632,,,-0.011528186491035,,0.208733246217733,,,0,,
2024-05-31,106.76389614127667,107.2934341430664,105.79147514958676,107.2934341430664,1604700,0.0075038562737352,,,,,,,,0,0,-0.1666134217952191,-0.0727438666235708,0,5.31297459012147,19.934402332361515,,,-0.0041108360718253,,0.2084013523181877,,,0,,
2024-06-03,107.74595076627612,107.74595076627612,106.60022705733374,107.39934539794922,1738400,0.0009871177647422,,,,,,,,0,0,-0.152498717529383,-0.0886948368047332,0,6.0256030253909785,21.932082598156896,,,-0.0031277761863977,,0.2084371591826175,,,0,,
2024-06-04,107.07199294594515,107.31269071104587,106.60022738309132,107.18753051757812,1039000,-0.0019722176106963,-0.0050938251418168,,,,,,,0,0,-0.1565992249572048,-0.1022757144352276,0,5.929488518319559,23.787071416395463,,,-0.0050938251418168,,0.2077937667330575,,,0,,
2024-06-05,107.7266806502554,108.3139837274407,107.3030502744464,108.29473114013672,1506300,0.0103295655493902,0.0162630357556963,,,,,,,0,0,-0.069703570288226,-0.0957612856058272,1,13.680393556490586,22.89908275262533,,,0.0,,0.2074743191751639,,,0,,
2024-06-06,108.47766510975173,108.47766510975173,108.0829246015778,108.37175750732422,929200,0.0007112660641617,0.0176294986905038,,,,,,,0,0,0.0053159670234066,-0.0755458350799805,1,14.209975877061012,22.491693656258416,,,0.0,,0.2076257731462089,,,0,,
2024-06-07,108.12143439813298,108.38138474130052,107.7459464882729,107.84222412109376,820800,-0.0048862674040759,0.0051148514576913,,,,,,,0,0,0.0217893974454881,-0.0560787885748867,1,13.592578892911549,21.046446113050685,,,-0.0048862674040759,,0.2068627566910098,,,0,,
2024-06-10,107.69779645569884,108.20807448486956,107.4282161644775,108.09253692626952,737500,0.0023211020285958,0.0064543366232987,,,,,,,0,0,0.0544155920928091,-0.0339799124413476,1,15.46238072076764,20.21881549169917,,,-0.0025765069006639,,0.2067042570974675,,,0,,
2024-06-11,107.697806986993,107.9288747812761,107.09125127243252,107.9096221923828,2672800,-0.0016922050225491,0.0067367134154308,,,,,,,0,0,0.0647658160552424,-0.0142307667420295,1,15.203477309611516,20.198745598772657,,,-0.0042643519452951,,0.2058586701044924,,,0,,
2024-06-12,109.08422056761437,109.5848686433321,108.75686781596217,108.95905303955078,1069600,0.0097250905512118,0.0061343880022604,,,,,,,0,0,0.1558521751610868,0.0197858216385937,1,23.153615357441183,20.58596411083251,,,0.0,,0.2061673950685022,,,0,,
2024-06-13,108.97832191767831,108.9975745067618,108.05404338590166,108.57394409179688,838300,-0.0035344373598228,0.0018656759761324,,,,,,,0,0,0.1947190968600978,0.0547724766828945,1,22.326379417396566,19.618179666440096,,,-0.0035344373598228,,0.2050259066461741,,,0,,
2024-06-14,108.03477808940036,108.24659328637016,107.65929018404933,108.2273406982422,1380300,-0.0031923257136319,0.0035711112255623,,,,,,,0,0,0.1953020941827645,0.0828784001828685,1,21.57910869458246,18.34215961506029,,,-0.0067154799981877,,0.2042471494097359,,,0,,
2024-06-17,108.08292989524055,109.10348610078546,107.96739231997556,108.93018341064452,893600,0.0064941327012919,0.0077493461453899,,,,,,,0,0,0.2496004184969251,0.1162228038456798,1,26.920624443829283,18.07739444966344,,,-0.0002649585151569,,0.2039503178024208,,,0,,
2024-06-18,108.93017976409078,109.36343280218296,108.93017976409078,109.28641510009766,965500,0.0032702753112074,0.0127587594112812,,,,,,,0,0,0.3177147342151443,0.1565211899195727,1,29.54021339826548,18.136352245632136,,,0.0,,0.2040987600296912,,,0,,
2024-06-20,109.43083957176351,109.53673983452362,108.74725142908623,109.09385681152344,1390900,-0.0017619599691127,0.0012371966184738,,,,,,,0,0,0.3520991951996706,0.1956367909755923,1,28.936407590393895,17.88108735807557,,,-0.0017619599691127,,0.2042940942295803,,,0,,
2024-06-21,108.8112769370123,108.96610948989871,108.50160444806492,108.80159759521484,1059500,-0.0026789704283122,0.0020967600037213,,,,,,,0,0,0.3517119357503873,0.2268518199305513,1,28.00090205485003,17.233754138942075,,,-0.0044362101587718,,0.204020351043046,,,0,,
2024-06-24,109.09191584115776,109.61448215333172,108.917724609375,108.917724609375,951700,0.0010673282077364,0.0063790157521999,,,,,,,0,0,0.3566641075593111,0.2528142774563033,1,28.983354706697085,17.44511542436092,,,-0.0033736168432734,,0.2049041278035685,,,0,,
2024-06-25,109.09192026240424,109.18869153216671,108.72417910086229,109.13062286376952,1968600,0.0019546704189612,0.0018400726671814,,,,108.15521354675292,,,0,0,0.3734628025458022,0.2769439824742031,1,30.846397821070937,17.310371318574084,,,-0.0014255407333605,,0.2045171069551294,,,0,,
2024-06-26,108.733865320132,109.06288913476992,108.5596740702722,108.96611785888672,846500,-0.0015074137814474,-0.0029308056350605,,,,108.216703414917,,,0,0,0.3692452805355088,0.2954042420864642,1,30.187405670626177,16.90387971386672,,,-0.0029308056350605,,0.2039542957759673,,,0,,
2024-06-27,109.06287617645044,109.30480802900084,108.8693336476798,109.16932678222656,1094600,0.0018648817387714,0.0006917893720954,0.0133010509364808,,,108.34708404541016,,,0,0,0.377943429192328,0.311912079507637,1,32.11665070385311,16.849775026363666,0.0795512136219455,,-0.0010713895021979,,0.2040129917783675,-0.0205709757685974,,0,,
2024-06-28,109.3628965423217,109.81772968897148,108.66613149921356,108.99515533447266,1192500,-0.0015954247670808,0.0017789972163637,0.0228359798921147,,,108.47212600708008,,,0,0,0.366557151775666,0.3228410939612428,1,31.31780339349613,17.426684786893972,0.0682667469887118,,-0.0026651049479318,,0.2044922261476815,-0.0143992800566093,,0,,
2024-07-01,109.44997706526988,109.47900770850885,108.7435401358726,109.14030456542967,2528300,0.0013317035102302,0.0020435604659658,0.0248462881516056,,,108.56446952819825,,,0,0,0.3650378457076044,0.3312804443105152,1,32.81752952762881,17.962386707386397,0.0679827649906533,,-0.0013369505673157,,0.2043439618042421,-0.021028199834119,,0,,
2024-07-02,108.8790131136504,109.68222125382437,108.86933377224854,109.65319061279295,1245300,0.0046993276169191,0.0047884611606749,0.0219934843970044,,,108.67716178894042,,,0,0,0.4006015174301893,0.34514465893445,1,37.97158727174183,18.705974163963184,0.0653373745945902,,0.0,,0.2039318560356719,-0.0214465800379825,,0,,
2024-07-03,109.86609288742925,110.52414782881225,109.86609288742925,110.4951171875,1510200,0.0076780855167275,0.0140318785201962,0.0288248664652466,,,108.84254112243651,,,0,0,0.4910617674181736,0.3743280806311947,1,45.37936693204499,20.266170530925898,0.069256911712253,,0.0,,0.2045846529867959,-0.0184828185671361,,0,,
2024-07-05,110.79511726645894,111.05640782098712,110.3112535258102,111.00801849365234,1308500,0.0046418458951629,0.0168425670984821,0.0356430263634788,,,108.9782054901123,,,0,0,0.5972542410628705,0.4189133127175299,1,49.34797720529071,22.155414243046845,0.0690329559161546,,0.0,,0.2043558912356834,-0.0165446517064709,,0,,
2024-07-08,111.19187458812178,111.29832518784671,110.843492149599,110.97897338867188,1283700,-0.0002616487112787,0.0182009746039766,0.0247864528613277,,,109.10856628417967,,,0,0,0.671330167981921,0.4693966837704081,1,49.13027903324184,24.09361722950001,0.0616650060256008,,-0.0002616487112787,,0.2040669407267684,-0.0164231335325835,,0,,
2024-07-09,111.15318305281512,111.2209236835925,110.84351054309342,110.95964050292967,885400,-0.0001742031409364,0.0166696981902711,0.0238796809715904,,,109.26443710327148,,,0,0,0.7201741521130458,0.5195521774389357,1,48.97540739180546,25.89337714549224,0.061824766456504,,-0.0004358062721877,,0.2038331908452579,-0.0182664331286094,,0,,
2024-07-10,111.33705606134784,112.1596229909872,111.29834607389508,112.1305923461914,1064400,0.0105529527488945,0.0225930656422634,0.0397652056979307,,,109.46633987426758,,,0,0,0.8436443818536077,0.5843706183218701,1,57.67745541217631,28.21152360806165,0.0658891074703815,,0.0,,0.2039659049035703,-0.0140037377137275,,0,,
2024-07-11,112.35315085408448,112.74992263621309,111.77251588456576,111.90799713134766,1379900,-0.001985142592991,0.0127868088636906,0.0352980910021631,,,109.66625862121582,,,0,0,0.9130092526103653,0.6500983451795692,1,55.731624472769965,30.685126319307752,0.067190771504054,,-0.001985142592991,,0.2053315204214362,-0.006641066300749,,0,,
2024-07-12,112.35316166173702,113.31120982275976,112.28542103182986,112.66283416748048,1007900,0.0067451572316754,0.0149071724392844,0.0440480828171521,,,109.8514476776123,,,0,0,1.0171652054860942,0.7235117172408743,1,60.58737567333023,33.2461310275868,0.0682330389815223,,0.0,,0.205420767122312,-0.0021272020360284,,0,,
2024-07-15,112.8854078947918,113.2434623240798,112.38218548899728,112.63379669189452,1740800,-0.0002577378405268,0.014911142648861,0.0337259140000956,,,110.05444030761718,,,0,0,1.0848608661769106,0.7957815470280816,1,60.313302649436125,35.62420682813163,0.0626436715985322,,-0.0002577378405268,,0.2048046307086177,-0.0066099897097295,,0,,
2024-07-16,112.83700966950394,113.47571327651876,112.7499177502786,113.46603393554688,853800,0.0073888767678578,0.0225883341119064,0.0450576782917073,,,110.31637496948242,,,0,0,1.191924985970445,0.8750102348165543,1,65.175592641659,37.94134231649824,0.0628169872858637,,0.0,,0.2051016148175836,0.0003692614882084,,0,,
2024-07-17,112.45961540028546,112.79831855922562,112.01446162236763,112.06285095214844,2856300,-0.0123665464873434,-0.0006041294585675,0.0354393837006523,,,110.47300834655762,,,0,0,1.1502891154980404,0.9300660109528516,1,53.31520626948935,38.47823341543703,0.0786220364640465,,-0.0123665464873434,,0.2054458076769133,0.0058686658327493,,0,,
2024-07-18,112.39187915940325,112.52736042827225,110.74674524703626,111.1144790649414,1007600,-0.0084628570409295,-0.0070908075092692,0.020052253525201,,,110.5644115447998,,,0,0,1.0289061135501782,0.9498340314723168,1,47.07938479799124,36.90085626104052,0.0839536270838205,,-0.0207247472132606,,0.2052847239379402,0.0065427999813767,,0,,
2024-07-19,110.90156388037477,111.133816400221,110.22415762116718,110.37899017333984,1043000,-0.0066191993859927,-0.020271494242241,0.0099973548609997,,,110.62866821289064,,,0,0,0.8634085666706568,0.932548938511985,0,42.88973193460805,34.7587866498164,0.0874407109754412,,-0.0272067653652245,,0.2052891939940133,0.0058326369261083,,0,,
2024-07-22,111.14349748763502,111.54994124954332,110.78544305207632,111.4822006225586,1057700,0.0099947503368735,-0.0102242497648025,0.0218925600472754,,,110.76269836425782,,,0,0,0.8119112245611859,0.9084213957218252,0,50.06761681029674,33.203933225447585,0.0929400150222195,,-0.0174839398556503,,0.2052251058471015,0.0045572125862578,,0,,
2024-07-23,111.2886595198557,111.58865267420636,111.07575829424889,111.13381958007812,1038200,-0.0031249925148137,-0.0205542951892857,0.0214355490765869,,,110.87350311279296,,,0,0,0.7345206742255641,0.8736412514225731,0,48.015307408783976,31.800536902276743,0.0931779220891747,,-0.0205542951892857,,0.2049051770723448,0.0043369498423815,,0,,
