,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,sma20,sma50,sma200,trend_sma,above_sma200,macd,macd_signal,macd_bullish,rsi,adx,vol_21,sharpe_63,drawdown,calmar_63,rs_ratio,rs_mom_21,rs_mom_63,rs_positive,score,score_pct
2024-05-28,167.92631390116227,167.92631390116227,165.6811762089937,166.4913787841797,221800,,,,,,,,,0,0,0.0,0.0,0,,0.0,,,0.0,,0.3218951741710192,,,0,,
2024-05-29,164.52932011034696,164.9588264955188,164.12909689736432,164.568359375,237100,-0.0115502641831831,,,,,,,,0,0,-0.1534032577123412,-0.0306806515424682,0,0.0,7.142857142857142,,,-0.0115502641831831,,0.320420971071311,,,0,,
2024-05-30,164.82217737269315,165.65189212964015,164.402427052874,164.94906616210938,356500,0.0023133656345315,,,,,,,,0,0,-0.2414730377721241,-0.0728391287883994,0,1.5000291588834642,9.136508895371511,,,-0.0092636185328826,,0.3233069448368189,,,0,,
2024-05-31,165.43714697873216,166.18878323792916,163.27987361082816,165.5738067626953,230900,0.0037874758258524,,,,,,,,0,0,-0.2578848911879277,-0.109848281268305,0,4.043734680596131,12.665230516530272,,,-0.0055112284382833,,0.3216022453202933,,,0,,
2024-06-03,166.65731850609936,166.8427885358937,163.4555624296027,164.607421875,171100,-0.0058365807164194,,,,,,,,0,0,-0.3448948540940932,-0.1568575958334627,0,3.8769500531200265,13.847806605837471,,,-0.0113156424250761,,0.3194646591225824,,,0,,
2024-06-04,163.9240912545979,164.12908834403686,162.67462632364698,162.87962341308594,299300,-0.0104964796983827,-0.0216933477124698,,,,,,,0,0,-0.546964703998384,-0.234879017466447,0,3.5917150147612773,15.917167137805675,,,-0.0216933477124698,,0.3157584684490571,,,0,,
2024-06-05,163.8655289487564,165.27118075439213,163.016287189017,165.2418975830078,167300,0.0145031902727992,0.0040927564117778,,,,,,,0,0,-0.510604798442472,-0.290024173661652,0,13.014542123686295,15.469064511112023,,,-0.0075047801891986,,0.3165754219001004,,,0,,
2024-06-06,164.910038836781,165.4566779856009,164.23649599455663,164.5293426513672,209000,-0.0043121928642987,-0.0025445643343605,,,,,,,0,0,-0.5331408236968684,-0.3386475036686953,0,12.6140498511389,14.747190493468777,,,-0.0117846109939173,,0.3152161850924945,,,0,,
2024-06-07,163.29937569679248,164.3828978079055,162.69417024736308,163.14320373535156,192500,-0.008424873604174,-0.0146798764542954,,,,,,,0,0,-0.6552967590205583,-0.4019773547390679,0,11.85010743333214,15.82794529733314,,,-0.0201102007399933,,0.312941031087833,,,0,,
2024-06-10,162.2451675652051,164.2560251283922,162.04017043443756,164.09983825683594,178600,0.0058637718248821,-0.0030836010453375,,,,,,,0,0,-0.6672224814603567,-0.4550263800833257,0,15.647019087028028,17.36132249597877,,,-0.014364350543603,,0.3138064121927136,,,0,,
