,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,sma20,sma50,sma200,trend_sma,above_sma200,macd,macd_signal,macd_bullish,rsi,adx,vol_21,sharpe_63,drawdown,calmar_63,rs_ratio,rs_mom_21,rs_mom_63,rs_positive,score,score_pct
2024-05-28,103.64312220547686,104.07653055252412,101.73219360083026,102.11634826660156,2321400,,,,,,,,,0,0,0.0,0.0,0,,0.0,,,0.0,,0.1974322264009336,,,0,,
2024-05-29,100.9540465948586,101.47610262545268,100.39258911657056,100.62899780273438,2182100,-0.0145652531559792,,,,,,,,0,0,-0.1186490398526558,-0.0237298079705311,0,0.0,7.142857142857142,,,-0.0145652531559792,,0.1959285105157179,,,0,,
2024-05-30,101.20029353335894,102.61871549938137,100.9638923773743,102.36260986328124,2145000,0.0172277583837743,,,,,,,,0,0,-0.0719617239117837,-0.0333761911587816,0,8.228194170144704,6.935859328889158,,,0.0,,0.2006348957971635,,,0,,
2024-05-31,102.88467148257205,103.7514882936447,101.76175653646216,103.72193908691406,2424300,0.0132795483179688,,,,,,,,0,0,0.0738732534133106,-0.0119263022443632,1,14.190282697485756,8.655928806163947,,,0.0,,0.2014643083110742,,,0,,
2024-06-03,104.23414779485007,104.25384476191488,101.71251516730844,102.4906768798828,2590400,-0.0118707981924588,,,,,,,,0,0,0.089069219093858,0.008272802023281,1,13.344603960858096,10.938435643300105,,,-0.0118707981924588,,0.1989105512873574,,,0,,
2024-06-04,101.80114390995466,102.12620016916844,100.20542684664456,100.32362365722656,2086200,-0.0211439058520023,-0.0175557062096914,,,,,,,0,0,-0.072910486172816,-0.0079638556159383,0,11.9902104028247,10.370178167323656,,,-0.0327637090050917,,0.1944873956082612,,,0,,
2024-06-05,100.8654005886283,102.48082239465424,100.31378782713948,102.4709701538086,2154400,0.0214041959241706,0.0183045880540824,,,,,,,0,0,-0.0276884779088533,-0.0119087800745213,0,20.590782489582367,9.9521997172337,,,-0.0120607939276686,,0.1963169588958346,,,0,,
2024-06-06,101.98830736181095,102.52021559883516,100.88508944260626,101.2593994140625,3185300,-0.0118235509815856,-0.0107774748093294,,,,,,,0,0,-0.0885921090446544,-0.0272454458685479,0,19.436666464294035,9.622993197311242,,,-0.023741743497372,,0.1939994929689195,,,0,,
2024-06-07,99.969025791194,100.70778597369036,99.10221654915216,100.18572998046876,1823300,-0.0106031582233997,-0.0340931642579698,,,,,,,0,0,-0.2209478761865142,-0.0659859319321412,0,18.44976464995878,10.783429837274443,,,-0.0340931642579698,,0.1921760836607894,,,0,,
2024-06-10,99.54548428553994,101.07225855982028,99.16132953537672,101.04270935058594,1560900,0.0085539065322401,-0.0141277975068293,,,,,,,0,0,-0.2537644633545426,-0.1035416382166215,0,21.860193233366104,11.310427633148128,,,-0.0258308874661806,,0.1932229210970454,,,0,,
