etf,close,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,vol_21,sharpe_63,rsi,adx,rs_positive,rs_mom_21,trend_sma,macd_bullish,above_sma200,drawdown,score,date,score_pct
IVV,749.1400146484375,0.0039669007501015,0.009010710931931,0.0525473135235055,0.095762624328769,0.1319078911268891,0.10281522531505,2.596078807337835,68.90393619961745,26.21609694736685,1,4.98128655093133e-05,1,0,1,-0.0032199464021733,0.617699,2026-05-25,
VOO,685.5499877929688,0.0039686615179539,0.0089926782785936,0.0526517481699575,0.0957314954940296,0.1320752492000572,0.1019021821965647,2.596364648926807,69.03196075679645,26.23213112928595,1,0.0001490386649569,1,0,1,-0.0031698380726333,0.617762,2026-05-25,
QQQ,717.5399780273438,0.0042406239525079,0.0121450431502623,0.101501330711107,0.1946006601706396,0.1992104057597965,0.166620848288311,3.8050982106828215,71.37820318053764,35.77613066749815,1,0.0465621692208633,1,0,1,-0.003125911819676,0.682567,2026-05-25,
VTI,366.7900085449219,0.0046564195789629,0.0111650725577019,0.0485706727983328,0.0935598390200869,0.1343544085790933,0.1067479447611719,2.4874879486258368,67.82597135715389,22.241127755392124,0,-0.0037284864678759,1,0,1,-0.0016602758892106,0.540401,2026-05-25,
ITOT,162.92999267578125,0.0048103534298917,0.0113593203161628,0.049536117692007,0.0945482419930168,0.1353573051986889,0.1073559370876924,2.509904669330729,67.93982903103739,22.411217371701817,0,-0.0028111947007072,1,0,1,-0.001654437974938,0.541395,2026-05-25,
IWB,406.6300048828125,0.004148642116653,0.0103361831925161,0.0482046053671854,0.0903735491093347,0.1269721449238368,0.1033455010894059,2.447724528987661,68.12634109268157,23.185104126445573,0,-0.0040762956934675,1,0,1,-0.0022818546504862,0.537508,2026-05-25,
MDY,670.6500244140625,0.0081172858535325,0.0172307281550208,0.0115232267023213,0.0389148319841443,0.1675681339001338,0.1582270838798199,0.9368178395507776,57.29924574250676,13.575784680822418,0,-0.0389281312339012,1,0,1,-0.0150536049823474,0.487885,2026-05-25,
IWM,285.1199951171875,0.0093100816798161,0.0270892970040774,0.0348432291169962,0.0964996627576599,0.2277129414559815,0.1991667013575174,1.8330427185785096,60.86544222123531,17.344922906706245,0,-0.0167712516797186,1,0,1,-0.005857715297373,0.533112,2026-05-25,
SCHB,28.729999542236328,0.0045454251410019,0.010907792579528,0.0493060782632956,0.0945540341622084,0.1355073083781652,0.1082936976205045,2.506852774538109,67.7495063264486,22.813312787873823,0,-0.003029760540626,1,0,1,-0.0020841045982271,0.541285,2026-05-25,
VXF,230.82000732421875,0.0098438112083902,0.0276936823315865,0.0242733573221669,0.0830448045742848,0.1577643353031705,0.1689155721547316,1.7400347854000788,61.16983186561554,15.103269633693523,0,-0.0268139340129677,1,0,1,-0.0065420893416103,0.511513,2026-05-25,
XLK,180.38999938964844,0.0100223584824254,0.0234313231108851,0.1575333908410057,0.3038859245857457,0.2875981896572943,0.2400351121645614,4.415165764666247,72.899746451444,33.88371745212736,1,0.0997995396719755,1,0,1,,0.72979,2026-05-25,
